Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,Выполняемые функции,Должность за кем закреплен ТС,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
,,,,,,,,17.04.2024,"15,00",17.04.2024,"15,00",,
,,,,,,,,18.04.2024,"55,00",18.04.2024,"55,00",,
,,,,,,,,21.04.2024,"66,00",21.04.2024,"66,00",1,
,,,,,,,,24.04.2024,"71,00",24.04.2024,"69,00",,
,,,,,,,,25.04.2024,"92,00",25.04.2024,"92,16",,
,,,,,,,,26.04.2024,"131,00",26.04.2024,"121,00",1,
,,,,,,,,27.04.2024,"0,00",27.04.2024,"3,83",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4947ТВ69,ГТС Выборг,Прочие,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,,,апр.24,303,апр.24,"305,28",9,"5,2"
,,,,,,,,01.04.2024,"15,00",01.04.2024,"15,00",,
,,,,,,,,02.04.2024,"6,00",02.04.2024,"6,00",,
,,,,,,,,03.04.2024,"21,00",03.04.2024,"21,00",2,
,,,,,,,,04.04.2024,"9,00",04.04.2024,"9,00",,
,,,,,,,,05.04.2024,"12,00",05.04.2024,"12,00",,
,,,,,,,,07.04.2024,"22,00",07.04.2024,"22,00",1,
,,,,,,,,08.04.2024,"8,00",08.04.2024,"8,00",,
,,,,,,,,10.04.2024,"55,00",10.04.2024,"55,00",3,
,,,,,,,,12.04.2024,"13,00",12.04.2024,"13,00",,
,,,,,,,,13.04.2024,"0,00",13.04.2024,"3,18",,
,,,,,,,,15.04.2024,"2,00",15.04.2024,"2,00",,
,,,,,,,,16.04.2024,"6,00",16.04.2024,"6,00",,
,,,,,,,,17.04.2024,"13,00",17.04.2024,"13,00",,
,,,,,,,,19.04.2024,"23,00",19.04.2024,"23,00",2,
,,,,,,,,20.04.2024,"2,00",20.04.2024,"2,00",,
,,,,,,,,24.04.2024,"17,00",24.04.2024,"17,00",,
,,,,,,,,25.04.2024,"1,00",25.04.2024,"1,00",,
,,,,,,,,26.04.2024,"31,00",26.04.2024,"32,10",,
,,,,,,,,27.04.2024,"17,00",27.04.2024,"17,00",1,
,,,,,,,,28.04.2024,"13,50",28.04.2024,"13,50",,
,,,,,,,,29.04.2024,"16,50",29.04.2024,"14,50",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5000СА70,ГТС Выборг,В целевой структуре парка,,,апр.24,184,апр.24,"205,36",1,"4,5"
,,,,,,,,02.04.2024,"4,00",02.04.2024,"14,00",,
,,,,,,,,16.04.2024,"3,00",10.04.2024,"11,00",1,
,,,,,,,,29.04.2024,"177,00",16.04.2024,"3,36",,
,,,,,,,,,,29.04.2024,"177,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,,,апр.24,14,апр.24,"14,02",0,"5,9"
,,,,,,,,05.04.2024,"4,00",05.04.2024,"4,00",,
,,,,,,,,07.04.2024,"0,00",07.04.2024,"0,00",,
,,,,,,,,10.04.2024,"1,00",10.04.2024,"1,00",,
,,,,,,,,14.04.2024,"7,00",14.04.2024,"7,00",,
,,,,,,,,15.04.2024,"2,00",15.04.2024,"2,00",,
,,,,,,,,21.04.2024,"0,00",21.04.2024,"0,02",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4946ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,,,апр.24,163,апр.24,"102,36",8,"5,8"
,,,,,,,,04.04.2024,"23,56",04.04.2024,"23,56",3,
,,,,,,,,10.04.2024,"50,20",10.04.2024,"30,30",,
,,,,,,,,11.04.2024,"50,20",11.04.2024,"17,20",3,
,,,,,,,,18.04.2024,"3,20",18.04.2024,"3,20",,
,,,,,,,,25.04.2024,"1,00",25.04.2024,"1,00",,
,,,,,,,,27.04.2024,"19,44",27.04.2024,"11,70",2,
,,,,,,,,29.04.2024,"15,40",29.04.2024,"15,40",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,В013ЕУ170,ГТС Выборг,В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,"95,4",апр.24,0,2,"5,9"
,,,,,,,,04.04.2024,"3,80",,,,
,,,,,,,,10.04.2024,"10,20",,,,
,,,,,,,,11.04.2024,"60,20",,,2,
,,,,,,,,16.04.2024,"18,00",,,,
,,,,,,,,18.04.2024,"2,20",,,,
,,,,,,,,25.04.2024,"1,00",,,,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3345МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3365МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),Прочие,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3364МР51,ГТС Выборг,В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9901МУ51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0059РХ70,ГТС Выборг,В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0007МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,,,апр.24,"490,4",апр.24,"506,14",3,"5,6"
,,,,,,,,01.04.2024,"22,00",01.04.2024,"22,00",,
,,,,,,,,03.04.2024,"19,00",03.04.2024,"25,00",1,
,,,,,,,,04.04.2024,"5,40",04.04.2024,"8,40",,
,,,,,,,,11.04.2024,"6,00",11.04.2024,"6,00",,
,,,,,,,,17.04.2024,"13,00",17.04.2024,"13,00",,
,,,,,,,,18.04.2024,"40,00",18.04.2024,"40,00",2,
,,,,,,,,19.04.2024,"4,00",19.04.2024,"6,62",,
,,,,,,,,20.04.2024,"2,00",20.04.2024,"2,00",,
,,,,,,,,21.04.2024,"10,00",21.04.2024,"13,00",,
,,,,,,,,24.04.2024,"369,00",24.04.2024,"370,12",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,,,апр.24,"216,5",апр.24,"65,12",5,"5,7"
,,,,,,,,01.04.2024,"50,30",,,3,
,,,,,,,,05.04.2024,"27,69",05.04.2024,"6,92",,
,,,,,,,,08.04.2024,"27,13",08.04.2024,"3,13",,
,,,,,,,,10.04.2024,"51,00",10.04.2024,"30,00",,
,,,,,,,,16.04.2024,"1,00",16.04.2024,"1,00",2,
,,,,,,,,20.04.2024,"35,22",22.04.2024,"3,41",,
,,,,,,,,22.04.2024,"3,50",29.04.2024,"2,10",,
,,,,,,,,29.04.2024,"2,10",30.04.2024,"18,56",1,
,,,,,,,,30.04.2024,"18,56",,,,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,0,,"17,6",3,"5,9"
,,,,,,,,,,08.04.2024,"1,60",,
,,,,,,,,,,12.04.2024,"11,00",2,
,,,,,,,,,,19.04.2024,"4,00",1,
,,,,,,,,,,24.04.2024,"1,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0074РХ70,ГТС Выборг,В целевой структуре парка,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0606РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,,,,146,,0,6,"1,6"
,,,,,,,,01.04.2024,12,,,,
,,,,,,,,03.04.2024,19,,,1,
,,,,,,,,04.04.2024,4,,,1,
,,,,,,,,11.04.2024,6,,,,
,,,,,,,,17.04.2024,13,,,,
,,,,,,,,18.04.2024,40,,,1,
,,,,,,,,19.04.2024,4,,,2,
,,,,,,,,20.04.2024,2,,,,
,,,,,,,,21.04.2024,10,,,,
,,,,,,,,24.04.2024,36,,,1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,8,,"350,16",14,"2,5"
,,,,,,,,04.04.2024,"8,00",04.04.2024,"9,00",,
,,,,,,,,,,08.04.2024,"23,00",,
,,,,,,,,,,09.04.2024,"42,00",2,
,,,,,,,,,,10.04.2024,"32,00",1,
,,,,,,,,,,17.04.2024,"31,00",,
,,,,,,,,,,18.04.2024,"27,00",3,
,,,,,,,,,,19.04.2024,"14,00",1,
,,,,,,,,,,20.04.2024,"10,16",,
,,,,,,,,,,25.04.2024,"13,00",2,
,,,,,,,,,,26.04.2024,"37,00",1,
,,,,,,,,,,27.04.2024,"112,00",4,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,145,,"140,56",0,"5,8"
,,,,,,,,05.04.2024,"6,00",05.04.2024,"6,00",,
,,,,,,,,07.04.2024,"18,15",07.04.2024,"18,15",,
,,,,,,,,10.04.2024,"27,75",10.04.2024,"27,75",,
,,,,,,,,14.04.2024,"10,00",14.04.2024,"10,00",,
,,,,,,,,15.04.2024,"32,00",15.04.2024,"32,00",,
,,,,,,,,21.04.2024,"45,00",21.04.2024,"40,56",,
,,,,,,,,24.04.2024,"6,10",24.04.2024,"6,10",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,,,,"69,5",,"75,35",5,"4,9"
,,,,,,,,01.04.2024,"6,92",01.04.2024,"6,42",,
,,,,,,,,05.04.2024,"3,13",05.04.2024,"9,48",1,
,,,,,,,,13.04.2024,"30,00",13.04.2024,"30,00",2,
,,,,,,,,21.04.2024,"9,05",21.04.2024,"9,05",1,
,,,,,,,,28.04.2024,"20,4",28.04.2024,"20,4",1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,,,,571,,"620,25",6,"4,6"
,,,,,,,,01.04.2024,"30,65",01.04.2024,"30,65",,
,,,,,,,,03.04.2024,"9,81",03.04.2024,"9,81",,
,,,,,,,,04.04.2024,"19,41",04.04.2024,"19,41",1,
,,,,,,,,05.04.2024,"9,00",05.04.2024,"9,00",,
,,,,,,,,08.04.2024,"164,00",08.04.2024,"164,00",1,
,,,,,,,,09.04.2024,"159,00",09.04.2024,"159,00",2,
,,,,,,,,11.04.2024,"0,00",11.04.2024,"0,00",,
,,,,,,,,12.04.2024,"10,00",12.04.2024,"10,00",,
,,,,,,,,14.04.2024,38,14.04.2024,38,,
,,,,,,,,15.04.2024,"9,00",15.04.2024,"9,00",,
,,,,,,,,18.04.2024,"0,00",18.04.2024,"39,16",1,
,,,,,,,,19.04.2024,"10,00",19.04.2024,"10,00",,
,,,,,,,,21.04.2024,"50,42",21.04.2024,"50,42",,
,,,,,,,,23.04.2024,"30,52",23.04.2024,"30,52",1,
,,,,,,,,25.04.2024,"22,19",25.04.2024,"22,19",,
,,,,,,,,26.04.2024,"9,00",26.04.2024,"9,00",,
,,,,,,,,,,28.04.2024,"10,09",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,0,,"2503,13",5,"5,9"
,,,,,,,,,,01.04.2024,"92,00",,
,,,,,,,,,,02.04.2024,"69,00",,
,,,,,,,,,,03.04.2024,"1136,00",4,
,,,,,,,,,,04.04.2024,"105,00",,
,,,,,,,,,,05.04.2024,"65,00",,
,,,,,,,,,,10.04.2024,"98,42",,
,,,,,,,,,,12.04.2024,"76,00",1,
,,,,,,,,,,15.04.2024,"103,61",,
,,,,,,,,,,20.04.2024,"85,64",,
,,,,,,,,,,23.04.2024,"7,46",,
,,,,,,,,,,26.04.2024,"97,00",,
,,,,,,,,,,27.04.2024,"93,00",,
,,,,,,,,,,28.04.2024,"52,00",,
,,,,,,,,,,29.04.2024,"423,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,149,,149,7,"2,3"
,,,,,,,,01.04.2024,"8,00",01.04.2024,"8,00",,
,,,,,,,,05.04.2024,"18,15",05.04.2024,"18,15",1,
,,,,,,,,10.04.2024,"29,75",10.04.2024,"29,75",2,
,,,,,,,,18.04.2024,"10,00",18.04.2024,"10,00",,
,,,,,,,,20.04.2024,"32,00",20.04.2024,"32,00",,
,,,,,,,,25.04.2024,"45,00",25.04.2024,"45,00",4,
,,,,,,,,30.04.2024,"6,10",30.04.2024,"6,10",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5609СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0376ТА69,ГТС Выборг,В целевой структуре парка,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,,,,138,,"299,5",4,"5,2"
,,,,,,,,06.04.2024,"3,00",06.04.2024,"103,28",1,
,,,,,,,,08.04.2024,"18,15",08.04.2024,"18,20",,
,,,,,,,,12.04.2024,"19,41",12.04.2024,"19,41",,
,,,,,,,,19.04.2024,"10,34",19.04.2024,"10,34",1,
,,,,,,,,25.04.2024,"32,00",25.04.2024,"32,00",,
,,,,,,,,26.04.2024,"47,00",26.04.2024,"78,96",1,
,,,,,,,,30.04.2024,"8,10",30.04.2024,"37,31",1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,,23,,"513,15",8,"4,5"
,,,,,,,,01.04.2024,"7,00",01.04.2024,"10,00",,
,,,,,,,,13.04.2024,"3,15",08.04.2024,"17,00",,
,,,,,,,,17.04.2024,"12,85",11.04.2024,"32,00",1,
,,,,,,,,,,12.04.2024,"6,00",,
,,,,,,,,,,13.04.2024,"3,15",,
,,,,,,,,,,16.04.2024,"31,00",,
,,,,,,,,,,17.04.2024,"15,00",,
,,,,,,,,,,18.04.2024,"55,00",1,
,,,,,,,,,,21.04.2024,"60,00",,
,,,,,,,,,,24.04.2024,"71,00",1,
,,,,,,,,,,25.04.2024,"82,00",2,
,,,,,,,,,,26.04.2024,"131,00",3,
,,,,,,,,,,27.04.2024,"0,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,Б/Н,ГТС Выборг,В целевой структуре парка,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,,,,350,,"326,21",7,"5,8"
,,,,,,,,01.04.2024,"31,25",01.04.2024,"31,25",,
,,,,,,,,01.04.2024,"101,00",01.04.2024,"98,15",2,
,,,,,,,,03.04.2024,"102,00",03.04.2024,"95,63",3,
,,,,,,,,10.04.2024,"17,86",10.04.2024,"2,36",,
,,,,,,,,18.04.2024,"7,00",18.04.2024,"7,00",,
,,,,,,,,26.04.2024,"8,00",26.04.2024,"8,00",,
,,,,,,,,28.04.2024,"55,56",28.04.2024,"56,51",1,
,,,,,,,,29.04.2024,"15,58",29.04.2024,"15,56",1,
,,,,,,,,30.04.2024,"11,75",30.04.2024,"11,75",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,"451,3",,"1181,69",10,"5,3"
,,,,,,,,01.04.2024,"65,36",01.04.2024,"286,00",4,
,,,,,,,,11.04.2024,"49,00",11.04.2024,"49,00",,
,,,,,,,,12.04.2024,"6,00",12.04.2024,"6,00",,
,,,,,,,,15.04.2024,"5,00",15.04.2024,"5,00",,
,,,,,,,,18.04.2024,"28,00",18.04.2024,"28,00",,
,,,,,,,,19.04.2024,"139,25",19.04.2024,"268,00",1,
,,,,,,,,20.04.2024,"7,00",20.04.2024,"7,00",,
,,,,,,,,23.04.2024,"54,00",23.04.2024,"54,00",,
,,,,,,,,24.04.2024,"14,00",24.04.2024,"14,00",,
,,,,,,,,25.04.2024,"22,00",25.04.2024,"22,00",,
,,,,,,,,28.04.2024,"15,69",26.04.2024,"355,00",3,
,,,,,,,,30.04.2024,"46,00",27.04.2024,"26,00",,
,,,,,,,,,,28.04.2024,"15,69",,
,,,,,,,,,,30.04.2024,"46,00",2,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,110,,"813,26",2,6
,,,,,,,,15.04.2024,"9,00",01.04.2024,"291,00",2,
,,,,,,,,22.04.2024,"3,00",14.04.2024,"412,26",,
,,,,,,,,25.04.2024,"22,00",15.04.2024,"9,00",,
,,,,,,,,27.04.2024,"33,00",22.04.2024,"3,00",,
,,,,,,,,29.04.2024,43,25.04.2024,"22,00",,
,,,,,,,,,,27.04.2024,"33,00",,
,,,,,,,,,,29.04.2024,43,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6334ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,522,,"948,68",14,"4,2"
,,,,,,,,01.04.2024,"30,53",01.04.2024,"30,53",2,
,,,,,,,,03.04.2024,"8,00",03.04.2024,"8,00",,
,,,,,,,,04.04.2024,"19,41",04.04.2024,"19,41",1,
,,,,,,,,05.04.2024,"9,00",05.04.2024,"9,00",,
,,,,,,,,08.04.2024,"164,00",08.04.2024,"164,00",1,
,,,,,,,,09.04.2024,"159,00",09.04.2024,"159,00",3,
,,,,,,,,11.04.2024,"0,00",11.04.2024,"0,51",,
,,,,,,,,12.04.2024,"10,00",12.04.2024,"10,00",,
,,,,,,,,14.04.2024,38,14.04.2024,38,,
,,,,,,,,15.04.2024,"9,00",15.04.2024,"9,00",,
,,,,,,,,18.04.2024,"0,00",18.04.2024,"125,41",1,
,,,,,,,,19.04.2024,"10,00",19.04.2024,"10,00",,
,,,,,,,,21.04.2024,20,21.04.2024,20,,
,,,,,,,,23.04.2024,"30,52",22.04.2024,"203,85",3,
,,,,,,,,27.04.2024,"12,54",23.04.2024,"30,52",,
,,,,,,,,,,25.04.2024,"68,96",2,
,,,,,,,,,,27.04.2024,"12,54",,
,,,,,,,,,,30.04.2024,"29,95",1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6346ТА69,ГТС Выборг,В целевой структуре парка,,,,362,,"98,01",3,"3,2"
,,,,,,,,01.04.2024,"41,15",06.04.2024,"15,58",,
,,,,,,,,03.04.2024,"24,36",11.04.2024,"18,00",,
,,,,,,,,06.04.2024,"15,58",14.04.2024,"30,00",1,
,,,,,,,,11.04.2024,"18,00",23.04.2024,"21,00",,
,,,,,,,,14.04.2024,"30,00",26.04.2024,"13,43",,
,,,,,,,,18.04.2024,"51,46",,,1,
,,,,,,,,20.04.2024,"85,8",,,,
,,,,,,,,23.04.2024,"21,00",,,,
,,,,,,,,26.04.2024,"13,4",,,,
,,,,,,,,28.04.2024,"45,63",,,1,
,,,,,,,,30.04.2024,"15,62",,,,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0355ТА69,ГТС Выборг,В целевой структуре парка,,,,0,,"125,36",1,6
,,,,,,,,,,02.04.2024,"29,58",,
,,,,,,,,,,10.04.2024,"24,36",,
,,,,,,,,,,18.04.2024,"30,00",,
,,,,,,,,,,23.04.2024,"26,00",1,
,,,,,,,,,,26.04.2024,"15,42",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9154ТМ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),Прочие,,,,0,,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0066РХ70,ГТС Выборг,В целевой структуре парка,,,,"9315,5",,"9300,13",21,6
,,,,,,,,01.04.2024,"400,00",01.04.2024,"400,13",4,
,,,,,,,,02.04.2024,"947,00",02.04.2024,"934,00",,
,,,,,,,,03.04.2024,"279,00",03.04.2024,"276,50",,
,,,,,,,,04.04.2024,"241,00",04.04.2024,"241,00",3,
,,,,,,,,05.04.2024,"367,00",05.04.2024,"367,00",,
,,,,,,,,06.04.2024,"201,10",06.04.2024,"201,10",,
,,,,,,,,07.04.2024,"351,16",07.04.2024,"351,16",1,
,,,,,,,,08.04.2024,"401,00",08.04.2024,"401,00",,
,,,,,,,,09.04.2024,"365,12",09.04.2024,"365,12",,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",,
,,,,,,,,11.04.2024,"453,00",11.04.2024,"453,00",,
,,,,,,,,12.04.2024,"198,00",12.04.2024,"198,00",,
,,,,,,,,13.04.2024,"204,62",13.04.2024,"204,62",,
,,,,,,,,15.04.2024,"357,12",15.04.2024,"357,12",,
,,,,,,,,16.04.2024,"412,02",16.04.2024,"412,02",,
,,,,,,,,17.04.2024,"193,36",17.04.2024,"193,36",,
,,,,,,,,18.04.2024,"254,96",18.04.2024,"254,96",,
,,,,,,,,19.04.2024,"369,16",19.04.2024,"369,16",5,
,,,,,,,,20.04.2024,"296,00",20.04.2024,"296,00",,
,,,,,,,,21.04.2024,"254,00",21.04.2024,"254,00",2,
,,,,,,,,22.04.2024,"184,37",22.04.2024,"184,37",,
,,,,,,,,23.04.2024,"284,36",23.04.2024,"284,36",,
,,,,,,,,24.04.2024,"155,00",24.04.2024,"155,00",3,
,,,,,,,,25.04.2024,"369,15",25.04.2024,"369,15",,
,,,,,,,,26.04.2024,"261,00",26.04.2024,"261,00",,
,,,,,,,,27.04.2024,"320,00",27.04.2024,"320,00",2,
,,,,,,,,28.04.2024,"386,00",28.04.2024,"386,00",,
,,,,,,,,29.04.2024,"248,00",29.04.2024,"248,00",1,
,,,,,,,,30.04.2024,"294,00",30.04.2024,"294,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9534РХ70,ГТС Выборг,В целевой структуре парка,,,,"1023,13",,"969,36",1,"5,4"
,,,,,,,,22.04.2024,"251,01",22.04.2024,"251,01",,
,,,,,,,,23.04.2024,"512,12",23.04.2024,"458,35",1,
,,,,,,,,24.04.2024,"260,00",24.04.2024,"260,00",,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4070РВ70,ГТС Выборг,В целевой структуре парка,,,,0,,"304,01",10,"4,9"
,,,,,,,,,,01.04.2024,"20,00",2,
,,,,,,,,,,02.04.2024,"18,90",,
,,,,,,,,,,03.04.2024,"21,00",1,
,,,,,,,,,,04.04.2024,"26,19",,
,,,,,,,,,,10.04.2024,"15,00",1,
,,,,,,,,,,13.04.2024,"22,00",,
,,,,,,,,,,18.04.2024,"56,36",2,
,,,,,,,,,,25.04.2024,"55,00",,
,,,,,,,,,,28.04.2024,"13,00",1,
,,,,,,,,,,29.04.2024,"24,00",,
,,,,,,,,,,30.04.2024,"32,56",3,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0050ТХ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,,0,,0,0,0
